Date,Location,Site,Habitat,Transect,cca,dead_coral,algal_matrix,hard_coral,macroalgae,other_biota,rubble,rock,sand,soft_coral,silt,sponge,zooantharia
1989,Singapore,S1,Crest,5,0.0,0.0,62.7,13.2,7.3,2.8,1.8,0.0,1.8,0.0,4.8,4.4,1.5
1989,Singapore,L2,Crest,1,0.4,0.0,20.1,55.5,0.0,3.9,19.2,0.0,0.9,0.0,0.0,0.0,0.0
1989,Singapore,L2,Crest,2,0.0,0.0,17.7,51.1,0.0,0.0,19.9,0.0,0.0,0.0,6.1,5.3,0.0
1989,Singapore,L2,Crest,3,0.0,0.0,13.9,69.1,0.0,3.2,9.7,0.0,0.0,0.0,0.0,4.3,0.0
1989,Singapore,L2,Crest,4,0.0,0.0,7.0,80.6,0.0,0.5,11.4,0.0,0.0,0.0,0.5,0.0,0.0
1989,Singapore,L2,Crest,5,0.0,0.0,30.9,47.8,0.0,2.0,19.4,0.0,0.0,0.0,0.0,0.0,0.0
1989,Singapore,L4,Crest,1,0.0,0.0,33.4,0.5,20.0,0.0,13.6,0.0,6.2,18.7,0.0,7.6,0.2
1989,Singapore,L4,Crest,2,0.0,0.0,34.5,12.2,8.4,0.0,17.6,0.0,18.8,7.2,0.0,1.5,0.0
1989,Singapore,L4,Crest,3,0.0,0.0,26.3,0.5,5.8,0.0,58.8,0.0,6.1,0.3,0.0,2.5,0.0
1989,Singapore,L4,Crest,4,0.0,0.0,39.1,0.0,12.6,0.3,27.3,0.0,7.7,2.7,0.0,10.5,0.0
1989,Singapore,L4,Crest,5,0.0,0.0,18.0,0.0,2.3,0.0,6.5,0.0,73.3,0.0,0.0,0.0,0.0
1992,Singapore,R1,Crest,1,0.2,0.0,6.9,92.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
1992,Singapore,R1,Crest,2,0.0,0.0,8.2,70.0,0.0,8.7,10.8,0.0,0.0,0.0,0.0,2.4,0.0
1992,Singapore,R1,Crest,3,0.0,0.0,13.1,83.6,0.0,2.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0
1992,Singapore,R1,Crest,4,0.0,0.0,9.0,78.4,1.5,5.5,1.0,0.0,0.9,0.5,0.0,3.4,0.0
1992,Singapore,R1,Crest,5,0.0,0.0,17.8,67.4,1.8,3.3,5.4,0.0,0.0,0.0,0.0,3.5,1.0
1992,Singapore,R2,Crest,1,0.0,0.0,18.4,68.8,0.0,3.3,4.8,0.0,1.8,0.0,0.0,2.9,0.0
1992,Singapore,R2,Crest,2,0.0,0.0,18.9,76.5,0.0,1.7,0.0,0.0,1.8,0.0,0.0,1.2,0.0
1992,Singapore,R2,Crest,3,0.0,0.0,19.0,64.8,3.5,1.1,7.4,0.0,4.4,0.0,0.0,0.0,0.0
1992,Singapore,R2,Crest,4,0.0,0.0,17.1,71.6,0.3,4.5,1.3,0.0,4.3,0.0,1.1,0.0,0.0
1992,Singapore,R2,Crest,5,0.0,0.0,23.2,53.6,0.0,4.2,10.3,0.0,5.1,1.0,1.9,0.9,0.0
1992,Singapore,H1,Crest,1,0.0,0.0,46.0,4.5,0.0,1.5,31.6,0.0,10.4,0.0,0.0,6.2,0.0
1992,Singapore,H1,Crest,2,0.0,0.0,16.5,4.6,1.3,0.0,59.0,0.0,16.9,0.0,0.0,1.9,0.0
1992,Singapore,H1,Crest,3,0.0,0.0,14.9,5.8,0.0,0.5,69.0,0.0,6.7,0.0,2.0,1.3,0.0
1992,Singapore,H1,Crest,4,0.0,0.0,12.6,9.0,11.7,0.6,42.7,0.0,3.9,0.0,13.4,6.3,0.0
1992,Singapore,H1,Crest,5,0.0,0.0,12.3,18.3,3.5,7.3,47.7,0.0,2.4,0.0,1.2,7.5,0.0
1992,Singapore,H2,Crest,1,0.0,0.0,27.1,39.4,2.0,3.8,10.8,0.0,10.4,0.5,0.0,5.2,1.1
1992,Singapore,H2,Crest,2,0.0,0.0,19.6,44.3,15.4,1.2,14.1,0.0,2.1,0.0,0.0,3.5,0.0
1992,Singapore,H2,Crest,3,0.0,0.0,14.4,12.5,35.4,0.3,28.2,0.0,9.3,0.0,0.0,0.0,0.0
1992,Singapore,H2,Crest,4,0.0,0.0,20.3,65.3,0.0,6.8,0.5,0.0,7.2,0.0,0.0,0.0,0.0
1992,Singapore,H2,Crest,5,0.0,0.0,11.6,82.2,0.0,3.1,0.0,0.0,3.2,0.0,0.0,0.0,0.0
1992,Singapore,HW1,Crest,1,0.0,0.0,39.0,38.6,3.1,0.5,7.2,0.0,0.0,0.0,7.9,3.8,0.0
1992,Singapore,HW1,Crest,2,0.0,0.0,43.3,21.2,1.6,0.0,22.4,0.0,1.0,0.0,2.7,8.0,0.0
1992,Singapore,HW1,Crest,3,0.0,0.0,29.8,41.6,1.2,4.6,14.5,0.0,0.0,0.0,7.1,1.3,0.0
1992,Singapore,HW1,Crest,4,0.0,0.0,20.5,61.9,1.3,3.0,6.2,0.0,0.0,0.0,2.5,4.8,0.0
1992,Singapore,HW1,Crest,5,0.0,0.0,37.0,23.2,0.0,0.0,14.3,0.0,0.0,0.0,16.3,9.3,0.0
1992,Singapore,HW2,Crest,1,0.0,0.0,40.5,55.1,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.8,2.0
1992,Singapore,HW2,Crest,2,0.0,0.0,14.1,70.6,0.7,0.6,10.0,0.0,0.0,0.0,1.4,2.0,0.8
1992,Singapore,HW2,Crest,3,0.0,0.0,9.8,71.9,0.0,3.8,9.4,0.0,0.0,0.7,2.9,1.6,0.0
1992,Singapore,HW2,Crest,4,0.0,0.0,15.3,71.4,0.0,5.0,7.4,0.0,0.0,0.0,0.0,0.9,0.0
1992,Singapore,HW2,Crest,5,0.0,0.0,35.3,50.5,0.0,1.2,10.9,0.0,0.0,0.0,0.8,1.3,0.0
